0,-------,---,---,---,---,---,---,---,---
4388.04,holding,2192.85,1818.26,2072.64,2019.88,2048.25,1.65E+03,1613.58,2079.61
4388.31,holding,2192.85,1817.46,2071.95,2019.64,2047.69,1.65E+03,1613.2,2079.61
4388.58,holding,2192.32,1817.46,2072,2019.52,2047.5,1.65E+03,1613.13,2078.59
4388.85,holding,2192.07,1817.52,2072,2019.52,2047.48,1643.45,1612.61,2076.81
4389.13,holding,2192.01,1817.27,2071.42,2019.01,2047.48,1641.51,1612.48,2076.03
4389.4,holding,2191.55,1816.63,2071,2018.46,2047.02,1641.51,1611.8,2074.83
4389.67,holding,2191.66,1.82E+03,2071.13,2018.63,2046.73,1.64E+03,1611.8,2074.83
4389.94,holding,2191.66,1815.94,2070.71,2018.11,2046.47,1637.67,1611.84,2073.59
4390.21,holding,2191.03,1815.94,2070.73,2018.12,2046.21,1635.79,1611.54,2072.16
4390.48,holding,2190.66,1815.59,2070.73,2018.12,2045.89,1634.24,1611.2,2070.74
4390.75,holding,2190.4,1815.48,2070.28,2017.71,2045.89,1632.11,1610.7,2069.92
4391.03,holding,2189.89,1815.02,2070.09,2017.48,2045.58,1632.11,1610.7,2068.86
4391.3,holding,2189.87,1814.6,2069.61,2016.98,2045.5,1630.12,1610.83,2068.86
4391.57,holding,2189.87,1814.38,2069.62,2016.63,2045.13,1628.58,1610.4,2067.64
4391.84,holding,2189.42,1814.38,2069.62,2016.71,2044.89,1626.64,1610.12,2066.01
4392.11,holding,2189.05,1814.06,2068.86,2016.71,2044.77,1.62E+03,1609.69,2064.98
4392.38,holding,2188.65,1813.71,2068.98,2016.27,2044.77,1622.84,1609.39,2063.47
4392.66,holding,2188.54,1813.21,2068.61,2015.95,2044.34,1.62E+03,1609.39,2062.46
4392.93,holding,2188.25,1813.06,2068.07,2015.65,2044.54,1.62E+03,1609.16,2062.46
4393.2,holding,2.19E+03,1812.59,2067.62,2015.48,2044.08,1619.29,1608.72,2061.03
4393.47,holding,2187.95,1812.59,2067.62,2015.34,2043.71,1617.34,1608.51,2060.18
4393.74,holding,2187.68,1811.96,2067.75,2015.34,2043.39,1615.41,1608.02,2058.83
4394.01,holding,2187.49,1812.07,2067.39,2014.64,2043.39,1615.41,1607.66,2057.64
4394.28,holding,2187.32,1811.65,2066.92,2014.79,2043.07,1.61E+03,1607.66,2056.31
4394.55,holding,2186.87,1811.35,2066.7,2014.25,2042.78,1611.67,1607.62,2056.31
4394.82,holding,2186.87,1811.35,2065.99,2014.06,2042.45,1609.84,1607.33,2055.19
4395.1,holding,2186.57,1811.01,2065.99,2013.93,2042.16,1607.97,1607.04,2054.29
4395.37,holding,2186.19,1810.57,2065.85,2013.93,2041.91,1.61E+03,1606.74,2053.01
4395.64,holding,2185.7,1810.28,2065.81,2013.34,2041.91,1606.06,1606.58,2051.72
4395.91,holding,2185.59,1809.92,2065.35,2013.28,2041.79,1.60E+03,1606.58,2050.23
4396.18,holding,2185.59,1809.71,2064.73,2012.6,2041.21,1602.47,1606.05,2050.23
4396.45,holding,2185.27,1809.71,2064.78,2012.5,2040.92,1600.46,1605.92,2049.13
4396.72,holding,2.19E+03,1809.15,2064.78,2012.29,2040.84,1598.72,1605.76,2048.11
4396.99,holding,2184.42,1.81E+03,2064.56,2012.29,2040.84,1596.88,1605.09,2046.9
4397.27,holding,2184.09,1.81E+03,2064.24,2011.83,2040.37,1596.88,1605.16,2045.49
4397.54,holding,2184.07,1808.27,2063.91,2011.76,2040.13,1595.13,1605.16,2044.04
4397.81,holding,2184.07,1807.79,2063.49,2011.3,2039.73,1593.36,1604.89,2044.04
4398.08,holding,2184.02,1807.79,2063.28,2011.14,2039.97,1.59E+03,1604.77,2043.42
4398.35,holding,2183.67,1807.44,2063.28,2011.14,2039.62,1.59E+03,1604.02,2041.88
4398.62,holding,2183.01,1807.52,2063.08,2010.9,2039.62,1588.24,1604.19,2040.74
4398.89,holding,2182.99,1807,2063.03,2010.82,2039.32,1588.24,1603.42,2039.44
4399.17,holding,2182.59,1806.85,2062.72,2010.27,2038.75,1.59E+03,1603.42,2039.44
4399.44,holding,2182.59,1806.65,2062.15,2010.1,2038.48,1584.15,1603.28,2038.34
4399.71,holding,2182.07,1.81E+03,2061.5,2009.89,2038.57,1582.18,1602.93,2037.35
4399.98,holding,2182.01,1806.11,2061.5,2009.89,2038.2,1580.45,1602.89,2036.06
4400.25,holding,2.18E+03,1805.89,2061.63,2009.66,2038.2,1.58E+03,1602.42,2034.8
4400.52,holding,2181.26,1805.52,2061.42,2009.26,2037.9,1578.69,1602.18,2033.66
